Node,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genres,Genres_cond
"('Give It All', 'Rise Against')",0.582,0.942,2,-3.098,1,0.0637,0.000371,0.004,0.078,0.357,103.057,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",rock
"(""Blowin' in the Wind"", 'Bob Dylan')",0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",rock
"('María', 'Ricky Martin')",0.723,0.914,7,-5.598,0,0.0663,0.0726,2.12e-05,0.95,0.968,101.181,"latin pop, mexican pop, puerto rican pop",latin
"('Around The World', 'Daft Punk')",0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,"electro, filter house, rock",edm
"(""J'voulais"", 'Amine')",0.743,0.929,4,-2.776,0,0.0553,0.207,0.0,0.127,0.772,110.015,french pop,pop
"('Good Vibrations', 'Beach Boys')",0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop",rock
"('On The Wings Of Love', 'Regine Velasquez')",0.483,0.453,1,-10.609,1,0.0282,0.315,1.2e-05,0.143,0.256,139.867,opm,other
"('Silly Girl', 'Descendents')",0.49,0.928,7,-6.102,1,0.0358,0.000205,0.0,0.0876,0.673,93.19,"hardcore punk, punk, skate punk",other
"('American Idiot', 'Green Day')",0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,"modern rock, permanent wave, punk, rock",rock
"('Cloudbusting', 'Kate Bush')",0.681,0.248,1,-17.465,0,0.0328,0.696,8.88e-06,0.0839,0.812,112.806,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",pop
"('Silvia', 'Miike Snow')",0.504,0.779,7,-5.48,0,0.0402,0.0122,0.000501,0.0925,0.3,119.985,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop",pop
"('Impossible Is Nothing', 'Iggy Azalea')",0.49,0.603,9,-6.601,1,0.0801,0.154,0.0,0.116,0.395,103.576,"australian hip hop, dance pop, pop",pop
"('Hoedown Throwdown', 'Miley Cyrus')",0.738,0.804,10,-6.018,0,0.0608,0.197,0.0,0.297,0.791,109.045,pop,pop
"(""I'll Be There for You"", 'The Rembrandts')",0.32,0.917,9,-5.903,1,0.0771,0.0717,0.0,0.169,0.715,190.757,pop rock,pop
"('You', 'Romeo Santos')",0.725,0.625,9,-7.595,0,0.0741,0.318,0.0,0.0825,0.845,132.108,"bachata, latin hip hop, latin pop, trap latino, urbano latino",latin
"('Gentle on My Mind', 'Glen Campbell')",0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987,"adult standards, arkansas country, classic country pop, folk rock, mellow gold, nashville sound, singer-songwriter, soft rock",rock
"('Anything Can Happen in the Next Half Hour', 'Enter Shikari')",0.496,0.871,1,-6.267,0,0.0525,0.000958,0.000655,0.121,0.346,120.019,"british alternative rock, nintendocore, trancecore, uk metalcore, uk post-hardcore",rock
"('Shut Up and Drive', 'Rihanna')",0.734,0.826,1,-4.909,1,0.0349,0.00101,0.129,0.197,0.74,132.96,"barbadian pop, pop, urban contemporary",pop
"('I Got You', 'Leona Lewis')",0.587,0.738,7,-4.469,1,0.0282,0.548,0.0,0.109,0.329,99.046,"british soul, dance pop, pop, talent show",pop
"('Soak Up the Sun', 'Sheryl Crow')",0.717,0.732,4,-4.985,1,0.0426,0.0394,0.0,0.136,0.708,119.996,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter",pop
"('Work This Body', 'Walk the Moon')",0.421,0.831,4,-5.128,1,0.106,0.0283,0.0,0.464,0.488,134.184,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock",rock
"('Sweetest Sin', 'Jessica Simpson')",0.641,0.781,2,-5.154,0,0.0258,0.237,0.0,0.33,0.45,94.477,"dance pop, post-teen pop",pop
"('The Way I Loved You', 'Taylor Swift')",0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,pop,pop
"('Radio Free Europe', 'R.E.M.')",0.367,0.685,4,-14.831,1,0.0464,0.00304,0.0478,0.109,0.854,154.953,"alternative rock, athens indie, permanent wave, rock",rock
"('The Boys', ""Girls' Generation"")",0.885,0.937,1,-0.678,0,0.0898,0.142,0.0,0.103,0.878,114.974,"k-pop, k-pop girl group",k-pop
"('The Rhythm Divine', 'Yello')",0.402,0.511,6,-7.148,0,0.0276,0.421,0.000539,0.0968,0.204,151.342,"new romantic, proto-techno, synthpop, zolo",pop
"('Without You', nan)",0.381,0.186,4,-15.477,1,0.029,0.613,2.75e-06,0.0694,0.142,65.058,"classic rock, folk, folk rock, singer-songwriter",rock
"('The Resistance', 'Drake')",0.547,0.741,0,-8.127,1,0.163,0.822,0.0,0.117,0.637,82.589,"canadian hip hop, canadian pop, hip hop, pop rap, rap",rap
"('Whiplash', 'Metallica')",0.386,0.911,4,-6.474,0,0.0956,0.000608,0.443,0.135,0.188,158.045,"hard rock, metal, old school thrash, rock, thrash metal",rock
"('Born to Make You Happy', 'Britney Spears')",0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,"dance pop, pop",pop
"('Lucky Strike', 'Maroon 5')",0.674,0.74,11,-4.517,0,0.0419,0.000637,0.0,0.111,0.431,143.998,pop,pop
"('Ugly', 'Sugababes')",0.723,0.819,0,-7.764,1,0.0309,0.0178,0.0,0.223,0.577,116.984,"dance pop, europop, girl group, talent show",pop
"('Cry Me a River', 'Justin Timberlake')",0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,"dance pop, pop",pop
"('God Put a Smile upon Your Face', 'Coldplay')",0.611,0.556,9,-5.761,1,0.0288,0.175,7.14e-05,0.0359,0.252,126.532,"permanent wave, pop",pop
"('Black & Blue', 'Miike Snow')",0.665,0.793,5,-3.888,0,0.0302,0.0166,0.000215,0.113,0.475,135.011,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop",pop
"('Super Bad', 'James Brown')",0.884,0.869,11,-6.574,0,0.0758,0.607,0.00168,0.0741,0.94,125.044,"funk, soul, vocal jazz",r&b
"(""I Know There's Something Going On"", 'Frida')",0.585,0.795,2,-8.269,0,0.0358,0.0412,0.291,0.0834,0.865,109.011,,other
"('Black and Yellow', 'Wiz Khalifa')",0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",rap
"('Losing My Religion', 'R.E.M.')",0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,"alternative rock, athens indie, permanent wave, rock",rock
"('Power', 'Kanye West')",0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,"chicago rap, hip hop, rap",rap
"('Till The World Ends', 'Britney Spears')",0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951,"dance pop, pop",pop
"('Breakaway', nan)",0.641,0.754,0,-8.81,1,0.0438,0.421,0.000284,0.439,0.813,128.925,,other
"('Buena Vista Social Club', 'Buena Vista Social Club')",0.653,0.28,2,-18.087,1,0.0383,0.834,0.922,0.0793,0.54,101.729,"latin jazz, musica tradicional cubana, world",latin
"(""Janie's Got a Gun"", 'Aerosmith')",0.633,0.823,5,-5.792,1,0.0287,0.0516,0.000496,0.188,0.444,115.107,"album rock, classic rock, hard rock, rock",rock
"(""This Ain't A Scene, It's An Arms Race"", 'Fall Out Boy')",0.435,0.887,9,-4.07,1,0.0637,0.000747,0.0,0.0327,0.408,199.939,"emo, modern rock, pop, rock",rock
"('Everlong', 'Foo Fighters')",0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",rock
"('Pepper', 'Butthole Surfers')",0.631,0.804,7,-5.492,1,0.166,0.00589,0.00116,0.16,0.671,79.898,"alternative rock, experimental rock, grunge, noise rock, psychedelic punk, punk",rock
"('Promise', 'Romeo Santos')",0.764,0.739,1,-6.422,1,0.0574,0.403,0.0,0.0821,0.77,132.995,"bachata, latin hip hop, latin pop, trap latino, urbano latino",latin
"('Yung Rapunxel', 'Azealia Banks')",0.638,0.807,11,-7.232,0,0.12,0.00057,0.722,0.097,0.155,132.962,"escape room, hip house, lgbtq+ hip hop, trap queen",rap
"('Cannibal', 'Ke$ha')",0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,"dance pop, pop",pop
"('Make Love', 'Keri Hilson')",0.252,0.86,6,-4.096,1,0.0979,0.0547,0.0,0.341,0.364,206.788,"dance pop, hip pop, r&b, urban contemporary",pop
"('Never Lose That Feeling', 'Swervedriver')",0.188,0.707,2,-10.066,0,0.0464,4.82e-05,0.827,0.0957,0.325,87.997,"grungegaze, nu gaze, shoegaze, spacegrunge",other
"('Oh, Pretty Woman', 'Roy Orbison')",0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,"adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter, soft rock",rock
"('Party', 'Beyonce')",0.648,0.593,10,-6.267,1,0.0509,0.0188,0.0,0.169,0.719,160.984,"pop, r&b",pop
"('I Know What I Like', 'Genesis')",0.492,0.824,2,-8.523,1,0.106,0.0758,0.000961,0.147,0.331,85.174,"album rock, art rock, classic rock, hard rock, mellow gold, new romantic, progressive rock, rock, soft rock, symphonic rock",rock
